TEXT	LABEL
"So it's going to be gradual but to get to a 55% by the end of the year or for the year, we're starting at a place that's 56.7%."	Negative
"Even so, we plan to meet our sales and profit targets, thanks to growth in the service business and steady progress on the construction of large-scale domestic thermal power plants for which we have already received orders."	Negative
"In Europe, all of our pulp and paper mills fall under the EU Emissions Trading Scheme (EU ETS) and in South Africa, the government has committed to introduce a carbon tax."	Negative
"The integration of fuel (upstream and procurement), existing overseas power generation, and energy infrastructure businesses was completed in July 2016, when the company started its full-scale operation as one of the leading energy companies in the world."	Negative
"During Capital Markets Day 2020, Hydro announced a new and extended improvement ambition, now aiming to achieve improvements of NOK 8.5 billion by 2025."	Negative
"John, I know you want to add anything at a high level to that."	Negative
I think all businesses have made their commitment in looking at the overall spending plan and make sure we are basically doing everything we can to become more efficient.	Negative
"Like as an example, for 2 decades, we have had VP of Sales, but we didn't have VP of Customer Retention."	Negative
"To this end, Eiffage Route introduced a roadmap for the 2012–2015 period, including 12 per- formance indicators to measure raw material and energy consumption for product manufacturing activities in each region."	Negative
"And as you saw, we -- in the 2.7 agreement -- or announcement, I should say, we expect to delever over the next couple of years down to levels that are similar to where we stand today."	Negative
Hydrocarbon spills with an environmental impact: spills with a volume greater than 1 barrel (?159 liters) are counted.	Negative
"And as Brent said, given the environment that we are in today, but what you see is that management has adjusted the expense level to withstand a little bit of this low wind environment."	Negative
"And also, because of new contract arrangements flowing in different pressures and such, our fuel usage is much lower."	Negative
No we’re including the puts and takes and just to talk a little bit about the transition.	Negative
We've also said that we've looked at all the possibilities of things that would be of interest to us.	Negative
"For us, it's all about the software, it's not about anything else."	Negative
"We have relationships with companies like waste management, the significant partners, to help us manage that."	Negative
But it's certainly a hefty investment that needs to be made in our state for renewable energy in order to meet that portfolio of standard.	Negative
"But we will continue to look at larger opportunities, and for the most part, Robyn, those would be in our 6 areas of focus, therapeutic focus."	Negative
"The Group’s shareholders’ equity includes issued ordinary shares, retained earnings and reserves."	Negative
This “factory 4.0” solution was chosen by the Executive Management of EDF's nuclear fleet and is currently being deployed in all 58 nuclear generation units in France.	Negative
We had great newness in our stores to start the new year and our store team did a terrific job of recovering after the holidays and we offered our guest a very strong in-store shopping experience.	Negative
"Eiffage Énergie Systèmes designs, builds, maintains and operates every kind of power station, including photovoltaic solar, thermal solar, wind-powered, hydroelectric and biomass."	Negative
"So it's a journey, but we've made of massive amount of progress architecturally in the last several years moving our entire company there."	Negative
"In common with other UK pension schemes, whilst the fund is invested in oil, gas and other resource companies, the fund is also made up of significant holdings in renewable energy assets."	Negative
We're probably looking at maybe a 30 to 40 basis point increase as we sit here today.	Negative
"Our larg- est onshore wind farm in the UK, Pen y Cymoedd (228 MW), began operating at full capacity."	Negative
"In addition, it continued with the construction of the Shuaibah desalination plant in Saudi Arabia, the Salalah plant in Oman and the Susa plant in Tunisia."	Negative
We're in all the key swing states in very big ways.	Negative
The redevelopment also features Hammerson’s second carbon neutral Costa Eco Pod and the first Denny’s American Diner in the UK.	Negative
"So it's nice to see that people are recognizing the impact that our business has, in a positive way, on jobs in the region, and we still remain sensitive and committed to our Water First approach at Conga."	Negative
This includes developing water products with increased vitamin and mineral levels.	Negative
"And as we look to get to our 60%, plus or minus, by 2019, we've got to annually run in the 50% to 60% incremental margin range."	Negative
"And we also have another condominium project down on the Lower East Side here, which is going to be coming online, I think, by the end of the year, down on Second Avenue."	Negative
"It launched a civil suit pertaining to acts allegedly committed by the above-mentioned former supplier, as well as two former Directors and other individuals."	Negative
"And we continue to strive the balance on our rolling 4-quarters basis, the investments we make on gross and the reductions in our cost."	Negative
"And so when we move all the items through and looked at what we expect the return of profitability in 2010, we did have impairment."	Negative
"Renewables correspond to onshore and offshore wind, concentrated solar power and photovoltaic solar plants, hydro plants through pumped storage, run of the river, tidal energy and wave energy and biomass or biofuel."	Negative
"There's a lot of hay to be made here with reducing back pressures on reservoirs, subsea lifting, subsea separation."	Negative
A lot of that has to do with how quickly our customers change their preferences to devices and whatnot and will -- can cost us to record additional charge.	Negative
"As Chris mentioned, we're very focused on making sure that we deploy that capital as effectively as we possibly can in a way that's most accretive in terms of returning to growth."	Negative
"In wireless, Bell was also first to launch Gigabit-speed mobile service, and extended the latest wireless technology, LTE Advanced, to 91% of the population."	Negative
"We're feeling some of that pressure this year in our C5 resins with some capacity, and the prices have come off a bit."	Negative
"And again, as we've talked about repeatedly, we are very, very focused on driving cost efficiencies, and that's starting to show up in our results from a North American perspective."	Negative
"Increase was mainly attributable to capital expenditures related to the Rush Creek wind generation facility, partially offset by amounts for the Courtenay wind farm and less rabbi trust investments."	Negative
• We Love Green The environment is at the heart of Parisian electro-pop music festival We Love Green.	Negative
"I'm not concerned about when we do that, our ability to understand the technology and scale it."	Negative
"We've continued our discussions with TxDOT, maybe this isn't the question you asked, but I'll go ahead and give you the flavor since you'll turn around, I think, and ask it anyway."	Negative
The particularity of this deal is that it included an adjustment mechanism linking the interest rate to the company's CO2 emissions.	Negative
This reduces KLP’s climate risk and makes it clear that our work has an effect on the climate.	Negative
"1.5°C (aggressive mitigation), 2°C (strong mitigation), 3°C (some mitigation) and 4°C (business as usual)."	Negative
Cyber Security Consulting Services Market 2018” issued by the leading Japanese IT consulting firm ITR Corporation.	Negative
Chotia Block with reserves of 15.5 mt and annual production capacity of 1mtpa;	Negative
"Based on our initial assessement of the guideline, the impact on our MCT ratios will be positive, with the benefit phasing in over a two-year period."	Negative
"In terms of initiatives regarding energy issues, the AGC Group works to reduce the energy involved in its production activities."	Negative
"And when we fail to deliver on that process, on that promise, it's not good on their business, and certainly, it's not good on our business."	Negative
And so really attacking the gross margin line and then supporting that with some of the share service centered work that we've been discussing with you.	Negative
"Crude oil price trended down to below USD 50/bbl during the first half of the year, driven by a growing US shale oil production and lack of confidence in the production cuts by OPEC and non-OPEC countries ."	Negative
But the new deployments in the second half of this year will be sharing both networks.	Negative
"But our view as a company, I think as you know, is that we do not expect the demand for power use of silicon carbide to be just limited to electric vehicles over the course of time."	Negative
"One improvement that we made was the exchange was a screw-on head in the first round, and in the second iteration of the product, it's actually a clip-on."	Negative
I want to lead EBARA so that it will always be a company that approaches this and every challenge with passion and dedication and a strong sense of purpose to support the world with its technologies.	Negative
"When Bridge- point decided to invest in the company in 2008, the chain had fewer than 200 restaurants, primarily in the UK."	Negative
I feel he and I are very much aligned on our outlook for both the opportunity as our outlook for what we are focused on when he gets to the business later this month.	Negative
It helps the overall balance of fossil fuel and nonfossil fuel.	Negative
So another $24 billion of Fannie and Freddie that has not been sold.	Negative
"Through a plan where everything is handled: solar energy is sourced and located and the business can point to a nearby solar facility and say, ‘that's where our solar comes from.'"	Negative
And I think we have good line of sight to seeing continued growth in that asset for the long term.	Negative
"But long term, we believe that a fuel-economy play and a emissions-reduction play is going to be continually a great place to play."	Negative
"Pursuant to the service concession arrangements, the Group was granted rights to construct, operate and maintain environmental energy projects, greentech projects and environmental water projects in the PRC for a period of 7 to 50 years."	Negative
"If our existing distribution channel was changing to where they were stopping the sale of one and changing to the other, that would be very alarming and something we would have to stop immediately."	Negative
"I don't look at the Corporate Services business as something that, in and of itself, in the contracting stage, the licensing stage, sort of the early corporate relationship."	Negative
"However, it asked for work on the five reactors after the first-of-a-kind reactor to be brought forward slightly and begin no later than 2055."	Negative
Electricity generation increased 2 times compared to 2019 and amounted to 2.45 TWh in 2020.	Negative
"Rio Tinto’s ownership interest in Channar mine increased from 60% to 100%, following conclusion of its joint venture with Sinosteel Corporation upon reaching planned 290 million tonnes production on 22 October 2020."	Negative
"Our aim is to be primarily an organic innovator, and to not only retain but enhance our position as the industry's most vital organic innovator."	Negative
"So on the coal side, P.J., part of what is helping on the coal is a little bit of government hand in terms of managing output production at the mine."	Negative
"By entering into the petroleum coke contracts with PEMEX, CEMEX expects to have a consistent source of petroleum coke throughout the 20-year term."	Negative
"The signs are pointing towards growth at all of our divisions, and we are on schedule with our efficiency-enhancing programs."	Negative
The pipeline will provide oil export for the Edvard Grieg and Ivar Aasen fields and is scheduled for start-up in 2015.	Negative
"As we look into volumes specifically into the U.S. Gulf Coast, the LNG regas facility at Golden Pass, it is progressing on the construction."	Negative
"Under the rules governing securities firms and related regulations, the CAR of a securities firm should be at least 200% to ensure its stability as well as maintain the health of the security markets."	Negative
"Not using cash flow to pay down debt, but the growth in EBITDA to naturally delever against the set nominal level of indebtedness and move back towards that 5x ratio."	Negative
"Having identified cogeneration system as a strategic product, Tokyo Gas is promoting adoption of the residential fuel cell system ENE- Steel) has decided to construct a gas-fueled thermal power plant in Moka City, Tochigi Prefecture near our facility."	Negative
Medwood Medwood provides support services to a network of primary care and family practices in New York City.	Negative
But the decisions are being made based upon the road map of 600-gig and 800-gig availability.	Negative
"The Lideriadi choir performed Leonard Bernstein's ""Chichester Psalms"", with the students of the Conservatory as orchestra, soloists and conductor."	Negative
"Yeah, as I mentioned, I think the smaller form factor products will be the majority of our revenue in 2019."	Negative
"In late 2018, the division plans to start series production of a city bus with a fully electric drive system on the basis of the Mercedes-Benz Citaro."	Negative
"We aim to become ""Taiwan Champion, Asia Leader""- a leading brand with the best governance, and the most trusted financial institution by customers and shareholders."	Negative
"I mean, we constantly look for ways that we can get superior returns through investment in organic growth, and we continue to want to grow the company organically."	Negative
And that has been built in through the cost reductions that are showing the uplift in the gross margin.	Negative
"We are very encouraged and are following our out-of-territory and fiber-deeper strategy, meaning investing fiber back into our core business as well as expanding our footprint and overbuilding into new markets."	Negative
"In Canada, the Canadian environmental regulator Environment and Climate Change Canada (»ECCC«) is conducting an investigation in connection with Diesel exhaust emissions."	Negative
35% of the remuneration that is determined by the qualitative internal assessment of the Executive Board of Directors by the Remuneration Committee of the General and Supervisory Board is reserved.	Negative
"In fact, it is one of the original sources of clean energy."	Negative
This is evidence that much still remains to be done and that the entire Group must work towards reaching the targets set.	Negative
"The essence of digital farming consists in aggregating and creating value from data, which is no longer sourced merely from farm equipment but is also generated using new services and algorithms and transformed into actionable intelligence."	Negative
US Early actions by the Biden Administration signal climate change as a top priority for the federal government over the next four years.	Negative
"In terms of additional investment in carbon fiber, that is something that we're looking at."	Negative
Gray Oak Pipeline Project - a crude oil pipeline project connecting the Permian Basin and Eagle Ford to destinations in the Corpus Christi and Sweeny/Freeport markets.	Negative
"So it's lumpy, we're learning as we go back, but for the opportunity is really exciting."	Negative
So we definitely have the data and we have production planners tweet on a very regular basis on a store-by-store basis to match the consumer demand in that particular location.	Negative
"As far as Doryx look, like we can't predict Europe, I can't predict when judges are going to rule."	Negative
"Provisions for Environmental Rehabilitations (“PERs”) We have an obligation to reclaim our mining properties after the minerals have been mined from the site, and have estimated the costs necessary to comply with existing reclamation standards."	Negative
And we intend to be there and take care of the customer the way they change.	Negative
"Gas remains core to our strategy in both the UK and US, and we believe it will remain central to the energy mix in both countries for decades to come."	Negative
"In order to ensure and monitor compliance with this commitment, since 2004, Groupe Renault measures the environmental impact of its vehicles throughout their life-cycle, from the extraction of the raw materials needed for their manufacture until their end-of-life."	Negative
(e) TSPL had entered into a long term Power Purchase Agreement (“PPA”) with Punjab State Power Corporation Limited (“PSPCL”) for supply of power.	Negative
"With increasing local electricity demand from cars, and potential for vehicles to both charge and discharge electricity onto the network, balancing demand, supply and power flows will become increasingly complex."	Negative
"But at this point, it's too early to say anything other than we are still committed to our $1.35 billion through 2021."	Negative
"Yes, the transportation reauthorization or SAFETEA-LU Bill that has been expired since September 2009."	Negative
"So it's only in back half as we continue our existing relationship with another organic milk provider in the first half of the year, and then begin to sort of build the Organic Valley business going forward from there."	Negative
"At that time, we committed to bringing business to S&I countries and focused our business strategy to include a 10% lending volume target by 2020."	Negative
"Since the beginning of this year, we said that we were going to reach the goal of 40% by the end of this year in terms of our domestic screen count recline."	Negative
"We -- as we've said before, we only make the nonstandard 12-ounce cans in 2 locations, Mississippi and Texas."	Negative
